name,leftmost_label,rightmost_label,label,,,,,,,,,,,,,,,,,,,,,,,
Helpful_decision,Very unhelpful,Very helpful,This review is helpful for me to decide about the seller.,,,,,,,,,,,,,,,,,,,,,,,
Helpful_familiarity,Very unhelpful,Very helpful,This review is helpful in familiarizing me with the seller.,,,,,,,,,,,,,,,,,,,,,,,
Helpful_Quality,Very unhelpful,Very helpful,This review is useful for me to assess the quality of the seller.,,,,,,,,,,,,,,,,,,,,,,,
break,,,,,,,,,,,,,,,,,,,,,,,,,,
Credibility_honest,Strongly disagree,Strongly agree,This review is honest.,,,,,,,,,,,,,,,,,,,,,,,
Credibility_trustworthy,Strongly disagree,Strongly agree,This review is trustworthy.,,,,,,,,,,,,,,,,,,,,,,,
Credibility_credible,Strongly disagree,Strongly agree,This review is credible.,,,,,,,,,,,,,,,,,,,,,,,
Quality,Very low,Very high,How would you rate the quality of this review,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_pos_desirable,Not at all desirable,Very desirable,How desirable is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_pos_good,Not at all good,Very good,How good is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_pos_worthwhile,Not at all worthwhile,Very worthwhile,How worthwhile is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_pos_useful,Not at all useful,Very useful,How useful is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_neg_undesirable,Not at all undesirable,Very undesirable,How undesirable is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_neg_bad,Not at all bad,Very bad,How bad is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_neg_worthless,Not at all worthless,Very worthless,How worthless is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Ambiguity_neg_useless,Not at all useless,Very useless,How useless is this seller in your opinion?,,,,,,,,,,,,,,,,,,,,,,,
Subjective_ambvlnc_feelings,Strongly disagree,Strongly agree,I have mixed feelings about this seller.,,,,,,,,,,,,,,,,,,,,,,,
Subjective_ambvlnc_opinions,Strongly disagree,Strongly agree,"I have mixed opinions both for and against this seller, all at the same time.",,,,,,,,,,,,,,,,,,,,,,,
Subjective_ambvlnc_love_hate,Strongly disagree,Strongly agree,I am torn between loving and hating this seller.,,,,,,,,,,,,,,,,,,,,,,,
Subjective_ambvlnc_thought,Strongly disagree,Strongly agree,I give little thought to this seller.,,,,,,,,,,,,,,,,,,,,,,,
Subjective_ambvlnc_indifferent,Strongly disagree,Strongly agree,I'm pretty indifferent toward this seller.,,,,,,,,,,,,,,,,,,,,,,,
Asses_confident,Very little confidence,A lot of confidence,How confident are you of your assessments of this seller?,,,,,,,,,,,,,,,,,,,,,,,
Asses_certain,Very little confidence,A lot of confidence,How certain are you of your assessments of this seller?,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Helpful_decision,Helpful_familiarity,Helpful_Quality,break,Credibility_honest,Credibility_trustworthy,Credibility_credible,Quality,Ambiguity_pos_desirable,Ambiguity_pos_good,Ambiguity_pos_worthwhile,Ambiguity_pos_useful,Ambiguity_neg_undesirable,Ambiguity_neg_bad,Ambiguity_neg_worthless,Ambiguity_neg_useless,Subjective_ambvlnc_feelings,Subjective_ambvlnc_opinions,Subjective_ambvlnc_love_hate,Subjective_ambvlnc_thought,Subjective_ambvlnc_indifferent,Asses_confident,Asses_certain,Helpful_decisionHelpful_familiarityHelpful_QualitybreakCredibility_honestCredibility_trustworthyCredibility_credibleQualityAmbiguity_pos_desirableAmbiguity_pos_goodAmbiguity_pos_worthwhileAmbiguity_pos_usefulAmbiguity_neg_undesirableAmbiguity_neg_badAmbiguity_neg_worthlessAmbiguity_neg_uselessSubjective_ambvlnc_feelingsSubjective_ambvlnc_opinionsSubjective_ambvlnc_love_hateSubjective_ambvlnc_thoughtSubjective_ambvlnc_indifferentAsses_confidentAsses_certain
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Helpful_decision;Helpful_familiarity;Helpful_Quality;break;Credibility_honest;Credibility_trustworthy;Credibility_credible;Quality;Ambiguity_pos_desirable;Ambiguity_pos_good;Ambiguity_pos_worthwhile;Ambiguity_pos_useful;Ambiguity_neg_undesirable;Ambiguity_neg_bad;Ambiguity_neg_worthless;Ambiguity_neg_useless;Subjective_ambvlnc_feelings;Subjective_ambvlnc_opinions;Subjective_ambvlnc_love_hate;Subjective_ambvlnc_thought;Subjective_ambvlnc_indifferent;Asses_confident;Asses_certain;,,,,,,,,,,,,,,,,,,,,,,,
