name,leftmost_label,rightmost_label,label
decision,Strongly unhelpfull,Strongly helpful,This review is helpful for me to decide about the product.
familiarity,Strongly unhelpfull,Strongly helpful,This review is helpful in familiarizing me with the product.
Quality,Strongly unhelpfull,Strongly helpful,This review is useful for me to assess the quality of the product.
informative,,,I find this review informative.
dependable,,,This review is dependable.
honest,Strongly disagree,Strongly agree,This review is honest.
sincere,,,This review is sincere.
trustworthy,Strongly disagree,Strongly agree,This review is trustworthy.
credible,Strongly disagree,Strongly agree,This review is credible.
consistent,Strongly disagree,Strongly agree,The information provided in this review is consistent.
uniform,Strongly disagree,Strongly agree,The information provided in this review is uniform.
similar,Strongly disagree,Strongly agree,The arguments provided in this review are similar to its rating.
complete,Strongly disagree,Strongly agree,This review appears to be complete.
understandable,Strongly disagree,Strongly agree,This review is easy to understand.
timely,Strongly disagree,Strongly agree,This review is timely.
accurate,Strongly disagree,Strongly agree,This review appears to be accurate.
relevant,Strongly disagree,Strongly agree,This review is relevant.
makes_sense,Strongly disagree,Strongly agree,This review makes sense
meaningful,Strongly disagree,Strongly agree,This review is meaningful.
desirable,Not at all desirable,Very desirable,How desirable is this product in your opinion?
good,Not at all good,Very good,How good is this product in your opinion?
worthwhile,Not at all worthwhile,Very worthwhile,How worthwhile is this product in your opinion?
useful,Not at all useful,Very useful,How useful is this product in your opinion?
undesirable,Not at all undesirable,Very undesirable,How undesirable is this product in your opinion?
bad,Not at all bad,Very bad,How bad is this product in your opinion?
worthless,Not at all worthless,Very worthless,How worthless is this product in your opinion?
useless,Not at all useless,Very useless,How useless is this product in your opinion?
feelings,Strongly disagree,Strongly agree,I have mixed feelings about this product.
opinions,Strongly disagree,Strongly agree,"I have mixed opinions both for and against this product, all at the same time."
love_hate,Strongly disagree,Strongly agree,I am torn between loving and hating this product.
matter,Strongly disagree,Strongly agree,This product really doesn't matter to me.
feelings2,Strongly disagree,Strongly agree,I don't have any feelings about this product at all.
thought,Strongly disagree,Strongly agree,I give little thought to this product.
indifferent,Strongly disagree,Strongly agree,I'm pretty indifferent toward this product.
relevance,Strongly disagree,Strongly agree,This product doesn't have much personal relevance to me.
concern,Strongly disagree,Strongly agree,I don't concern myself much with this product.
confident,Very little confidence,A lot of confidence,How confident are you of your assessments of this product?
certain,Very little confidence,A lot of confidence,How certain are you of your assessments of this product?
